cabinet 12 19 101 343 0.316312 0.452193 door
sofa 418 118 590 410 0.308809 0.583869 BG
table 12 210 430 437 0.140083 0.758893 floor
picture 497 95 498 99 0.161335 0.292044 BG
picture 390 1 406 5 0.137226 0.432736 BG
paper 128 412 132 419 0.227159 0.172332 BG
paper 64 416 72 429 0.210818 0.599818 BG
paper 313 21 320 23 0.209379 0.488640 BG
paper 477 1 485 19 0.208072 0.384907 BG
paper 321 22 333 25 0.204592 0.524340 BG
paper 403 337 407 351 0.19631 0.256309 BG
paper 183 0 212 4 0.195368 0.352147 BG
paper 350 27 366 30 0.190534 0.508622 BG
paper 308 266 311 267 0.182859 0.738736 BG
paper 390 0 405 5 0.162495 0.432736 BG
paper 206 0 234 8 0.161613 0.280683 BG
paper 498 94 499 99 0.138814 0.292044 BG
paper 310 21 347 45 0.138629 0.441240 BG
paper 188 0 471 46 0.13738 0.579440 BG
paper 484 3 486 14 0.134119 0.557262 BG
paper 486 0 487 3 0.130198 0.659783 BG
paper 407 330 426 352 0.129211 0.644076 BG
paper 417 318 431 331 0.126316 0.606501 BG
paper 572 244 590 252 0.123067 0.430346 BG
paper 573 405 590 440 0.122255 0.255140 BG
paper 461 218 471 225 0.119033 0.796513 BG
paper 196 362 202 377 0.113488 0.806708 BG
paper 224 285 270 311 0.111762 0.815337 BG
paper 366 30 378 33 0.108282 0.743318 BG
paper 482 2 492 32 0.107891 0.460188 BG
paper 381 23 429 40 0.103975 0.807246 BG
towel 71 65 73 71 0.106878 0.777827 BG
box 497 95 498 98 0.163001 0.292044 BG
box 43 437 46 440 0.159333 0.453149 BG
box 128 411 133 419 0.151252 0.172332 BG
box 394 32 405 37 0.104742 0.743130 BG
toilet 510 25 514 32 0.116193 0.789832 BG
bag 206 0 235 7 0.105644 0.280683 BG
garbage_bin 327 102 399 275 0.421511 0.557873 fire_extinguiser
garbage_bin 340 138 390 193 0.215609 0.757627 BG
garbage_bin 338 147 354 195 0.215363 0.688530 BG
garbage_bin 439 381 446 390 0.182261 0.673543 BG
garbage_bin 127 412 133 419 0.148723 0.172332 BG
garbage_bin 373 244 451 375 0.139496 0.634558 BG
garbage_bin 438 363 442 369 0.125173 0.469484 BG
garbage_bin 374 122 471 218 0.118618 0.862294 BG
garbage_bin 392 126 481 426 0.115343 0.828623 pipe
garbage_bin 336 211 341 215 0.112861 0.876864 BG
garbage_bin 478 37 483 48 0.111207 0.722063 BG
garbage_bin 325 348 331 353 0.104588 0.590163 BG
