chair 487 106 714 529 0.159885 0.768744 toilet_paper_dispenser
paper 391 0 485 35 0.353267 0.359464 BG
paper 454 427 486 457 0.30703 0.584531 BG
paper 431 424 494 492 0.278576 0.636609 paper
paper 482 440 485 447 0.21529 0.669459 BG
paper 670 459 729 524 0.194396 0.380122 BG
paper 215 239 251 246 0.182537 0.569117 BG
paper 330 494 336 495 0.179589 0.566890 BG
paper 130 348 137 358 0.177933 0.075087 BG
paper 217 232 247 239 0.175267 0.654681 BG
paper 214 495 296 525 0.171848 0.553651 BG
paper 495 502 496 507 0.168093 0.444144 BG
paper 376 426 530 525 0.161833 0.783247 BG
paper 274 415 280 418 0.152721 0.712096 BG
paper 305 424 348 447 0.152413 0.701737 BG
paper 135 495 180 524 0.146567 0.464304 BG
paper 288 494 297 503 0.144574 0.799221 BG
paper 722 446 729 453 0.143967 0.212266 BG
paper 324 425 339 430 0.138955 0.698632 BG
paper 531 507 621 524 0.136879 0.374260 BG
paper 717 376 729 385 0.135416 0.160604 BG
paper 719 432 729 436 0.135087 0.243176 BG
paper 714 335 729 385 0.131677 0.209952 BG
paper 539 514 543 518 0.127958 0.458817 BG
paper 298 495 460 525 0.125915 0.617989 BG
paper 495 498 531 524 0.125614 0.589364 BG
paper 307 424 311 425 0.121525 0.846370 BG
paper 298 424 379 493 0.121513 0.803919 BG
paper 175 495 217 525 0.118853 0.727396 BG
paper 463 488 497 525 0.106273 0.735897 BG
paper 298 495 310 504 0.104808 0.842190 BG
paper 686 433 729 459 0.100803 0.337853 BG
paper 263 424 304 447 0.100086 0.855629 BG
box 495 501 496 507 0.164414 0.444144 BG
box 215 238 253 245 0.147613 0.569117 BG
box 135 493 181 524 0.118054 0.464304 BG
box 391 0 487 35 0.109419 0.359464 BG
toilet 230 0 469 479 0.526287 0.473621 BG
toilet 60 35 296 483 0.131121 0.806805 BG
garbage_bin 695 424 701 432 0.368464 0.491182 BG
garbage_bin 696 433 698 438 0.279706 0.651682 BG
garbage_bin 711 382 729 433 0.202976 0.388914 BG
garbage_bin 687 431 693 450 0.1843 0.709913 BG
garbage_bin 685 431 728 460 0.158498 0.337853 BG
garbage_bin 680 430 687 446 0.152739 0.731933 BG
garbage_bin 129 349 138 358 0.150171 0.075087 BG
garbage_bin 704 433 711 435 0.149176 0.585293 BG
garbage_bin 713 407 716 416 0.127044 0.401231 BG
garbage_bin 666 399 717 432 0.119655 0.748435 BG
garbage_bin 700 200 705 200 0.102349 0.630939 BG
