cabinet 0 156 98 281 0.156209 0.493774 dresser
bed 206 5 685 457 0.998279 0.001549 bed
picture 496 26 538 55 0.668365 0.246044 BG
picture 666 71 700 77 0.464289 0.450779 BG
picture 510 44 537 53 0.404851 0.460250 BG
picture 497 31 508 45 0.264097 0.625585 BG
picture 480 91 492 131 0.250774 0.695344 BG
picture 662 73 710 99 0.221051 0.518743 BG
picture 496 11 650 104 0.194568 0.586864 BG
picture 5 2 102 29 0.124678 0.274450 BG
counter 635 102 729 126 0.104094 0.871101 BG
dresser 9 109 193 300 0.291627 0.453008 BG
pillow 232 85 415 159 0.714259 0.284572 pillow
pillow 233 76 327 129 0.375586 0.571288 pillow
pillow 539 134 579 172 0.292209 0.645080 BG
pillow 549 153 572 171 0.239131 0.718399 BG
pillow 233 111 317 150 0.20156 0.780685 BG
pillow 528 110 555 118 0.181664 0.809602 BG
pillow 475 110 578 168 0.180396 0.688682 BG
pillow 549 101 554 106 0.140491 0.835920 BG
pillow 651 198 690 214 0.120899 0.796406 BG
pillow 648 209 696 220 0.114071 0.851972 BG
pillow 677 214 681 216 0.10183 0.772431 BG
paper 6 164 28 172 0.292941 0.633535 BG
paper 7 170 37 208 0.146446 0.760099 BG
paper 530 69 533 82 0.117279 0.422850 BG
box 530 68 534 82 0.144487 0.422850 BG
box 663 88 702 99 0.118628 0.572940 BG
box 524 61 535 75 0.114345 0.687890 BG
box 527 77 530 82 0.104005 0.627446 BG
person 541 39 605 93 0.836973 0.159075 person
person 542 71 562 96 0.380619 0.584370 BG
person 558 53 578 94 0.227067 0.772807 BG
person 498 9 640 89 0.221959 0.707583 BG
person 598 44 617 74 0.185381 0.764890 BG
person 577 72 592 92 0.18135 0.817714 BG
person 725 515 729 529 0.180356 0.179331 BG
person 591 73 600 83 0.17845 0.818578 BG
person 583 89 586 91 0.153526 0.835437 BG
person 590 50 611 92 0.131871 0.857735 BG
person 502 42 586 123 0.105382 0.880827 BG
night_stand 16 109 203 294 0.74151 0.107315 BG
night_stand 573 92 728 226 0.212509 0.767311 BG
night_stand 5 158 97 284 0.196865 0.493774 BG
lamp 107 54 170 83 0.933493 0.066493 BG
lamp 106 47 167 157 0.841815 0.157823 lamp
lamp 111 27 154 71 0.660648 0.338948 BG
lamp 153 54 160 76 0.458452 0.541448 BG
lamp 10 2 103 31 0.399609 0.274450 BG
lamp 16 43 166 83 0.375251 0.623123 BG
lamp 19 17 158 155 0.286696 0.709626 BG
lamp 137 80 150 103 0.1994 0.800282 BG
lamp 93 53 111 64 0.188555 0.810365 BG
lamp 131 0 199 154 0.171844 0.827625 BG
lamp 123 14 133 26 0.125587 0.696405 BG
lamp 106 28 108 31 0.111417 0.639504 BG
garbage_bin 111 250 290 399 0.127687 0.660822 BG
