chair 119 192 272 411 0.954755 0.043373 chair
sofa 452 116 727 488 0.353978 0.546046 BG
sofa 449 197 546 285 0.273091 0.428775 BG
sofa 5 525 687 529 0.117654 0.141943 BG
table 246 241 498 493 0.974463 0.021825 table
picture 182 100 192 166 0.413728 0.400960 BG
picture 201 121 211 167 0.317381 0.572281 BG
picture 183 132 187 155 0.20145 0.349287 BG
picture 198 43 211 173 0.153875 0.718306 BG
blinds 257 1 272 108 0.11836 0.820842 BG
blinds 165 6 310 236 0.100912 0.840400 BG
desk 248 160 496 489 0.209071 0.320754 table
pillow 503 217 515 226 0.173985 0.801715 BG
pillow 414 194 541 275 0.158223 0.303359 BG
pillow 539 209 544 213 0.136506 0.766490 BG
pillow 514 201 524 213 0.119621 0.783808 BG
pillow 494 202 517 226 0.117865 0.817404 BG
pillow 434 218 462 252 0.105567 0.744666 BG
pillow 457 202 491 245 0.105457 0.794745 BG
pillow 504 226 508 228 0.102978 0.885227 BG
paper 262 503 275 511 0.243835 0.255076 BG
paper 309 499 313 504 0.239601 0.310319 BG
paper 287 497 304 506 0.204095 0.410405 BG
paper 489 500 491 505 0.188098 0.276924 BG
paper 193 448 195 458 0.181034 0.273468 BG
paper 28 505 34 507 0.178702 0.507185 BG
paper 382 151 389 172 0.157831 0.370619 BG
paper 183 131 187 154 0.157736 0.349287 BG
paper 275 497 395 526 0.157115 0.383465 BG
paper 21 518 28 525 0.155551 0.448218 BG
paper 380 166 380 167 0.141876 0.316168 BG
paper 380 158 382 167 0.139695 0.394454 BG
paper 197 442 197 446 0.138934 0.315918 BG
paper 21 509 32 519 0.132903 0.648804 BG
paper 189 423 198 447 0.129049 0.274331 BG
paper 486 514 488 525 0.117894 0.359255 BG
paper 544 526 549 529 0.112002 0.197193 BG
paper 550 526 596 529 0.109996 0.196314 BG
paper 506 526 543 529 0.108499 0.174502 BG
paper 491 521 496 525 0.101755 0.440516 BG
paper 208 129 209 133 0.101057 0.709374 BG
box 380 166 381 167 0.30806 0.316168 BG
box 382 151 390 172 0.229153 0.370619 BG
box 380 159 383 167 0.224558 0.394454 BG
box 261 502 275 510 0.208726 0.255076 BG
box 309 498 314 503 0.157702 0.310319 BG
box 489 499 491 505 0.148821 0.276924 BG
box 423 166 425 169 0.134422 0.641111 BG
box 182 133 188 154 0.132485 0.349287 BG
box 287 496 304 505 0.127573 0.410405 BG
garbage_bin 189 424 198 461 0.201022 0.284745 BG
garbage_bin 196 442 198 446 0.140637 0.315918 BG
garbage_bin 192 448 196 459 0.138858 0.273468 BG
garbage_bin 502 282 537 315 0.103018 0.681794 BG
