cabinet 230 150 371 245 0.150483 0.568801 file_cabinet
chair 67 226 240 428 0.997645 0.001631 chair
chair 133 148 202 228 0.826793 0.155124 chair
chair 1 183 65 440 0.71947 0.144045 BG
chair 209 252 289 381 0.338705 0.602590 drawer
chair 165 313 232 403 0.319411 0.667664 BG
chair 81 184 198 247 0.31927 0.660432 BG
chair 76 232 104 240 0.26149 0.736914 BG
chair 87 229 136 237 0.243923 0.728684 BG
chair 85 212 178 233 0.238763 0.743367 BG
chair 73 235 78 247 0.212668 0.772990 BG
chair 34 197 131 438 0.203244 0.790011 BG
chair 135 232 160 239 0.167604 0.799790 BG
chair 152 231 155 232 0.167505 0.794923 BG
chair 132 226 171 235 0.14423 0.763820 BG
chair 1 169 97 262 0.132647 0.666740 BG
chair 51 151 307 231 0.132182 0.820520 BG
chair 56 217 86 243 0.129543 0.761886 BG
chair 153 214 178 230 0.120165 0.824522 BG
chair 161 238 206 255 0.117825 0.866684 BG
chair 210 247 287 289 0.110416 0.784854 BG
chair 250 268 430 440 0.108878 0.785772 BG
chair 141 190 179 230 0.10335 0.853202 BG
table 213 245 548 437 0.969874 0.001219 table
table 18 128 200 336 0.913121 0.036144 BG
table 227 239 323 424 0.374385 0.448146 BG
table 16 154 119 257 0.168099 0.666740 BG
table 9 153 71 424 0.155616 0.271342 BG
door 428 10 589 264 0.185032 0.576363 windowshade
door 22 30 68 46 0.149429 0.185268 BG
door 583 139 584 144 0.105409 0.687898 BG
picture 2 1 65 38 0.374313 0.073042 BG
blinds 4 2 63 136 0.138694 0.263006 windowshade
desk 195 250 485 435 0.43621 0.167178 table
desk 25 145 195 252 0.433231 0.062921 table
desk 21 167 230 403 0.206293 0.313302 BG
desk 366 238 590 433 0.104311 0.430888 table
mirror 415 6 590 304 0.156369 0.515707 windowshade
mirror 583 138 584 144 0.121136 0.687898 BG
clothes 483 389 535 438 0.100115 0.584195 BG
fridge 399 190 562 440 0.12231 0.505984 computer
tv 432 179 574 362 0.229484 0.539344 computer
tv 68 92 139 136 0.171603 0.719048 BG
paper 548 331 575 348 0.273474 0.416846 BG
paper 570 340 590 347 0.217179 0.473030 BG
paper 27 148 29 150 0.216023 0.601309 BG
paper 587 317 590 321 0.208194 0.425919 BG
paper 42 416 48 420 0.18973 0.510227 BG
paper 577 309 581 316 0.18189 0.374508 BG
paper 565 253 566 255 0.163866 0.545538 BG
paper 29 138 58 152 0.15952 0.761406 BG
paper 2 0 63 38 0.158194 0.073042 BG
paper 32 145 73 162 0.140471 0.780441 BG
paper 38 416 48 431 0.132994 0.381023 BG
paper 21 30 62 40 0.126897 0.296450 BG
paper 53 150 58 152 0.125018 0.759492 BG
paper 39 145 51 151 0.123973 0.813755 BG
paper 49 150 57 155 0.121341 0.716617 BG
paper 142 143 145 147 0.118515 0.873402 BG
paper 577 310 590 321 0.115823 0.548441 BG
paper 26 145 30 147 0.112041 0.783975 BG
paper 51 146 55 149 0.108664 0.846058 BG
paper 280 425 288 432 0.106227 0.302534 BG
paper 504 0 590 26 0.102565 0.599027 BG
paper 273 224 276 226 0.101175 0.510417 BG
towel 482 369 540 436 0.257371 0.169642 BG
box 547 330 575 348 0.272211 0.416846 BG
box 233 149 279 251 0.253022 0.637714 BG
box 577 309 582 316 0.239343 0.374508 BG
box 478 337 566 440 0.214907 0.321073 tissue_box
box 230 209 238 244 0.211057 0.544738 BG
box 570 340 590 362 0.192231 0.457449 BG
box 546 341 549 348 0.192209 0.748978 BG
box 557 243 560 246 0.190062 0.669791 BG
box 270 153 275 158 0.168708 0.777625 BG
box 265 146 270 152 0.168708 0.777625 BG
box 566 253 567 255 0.122751 0.545538 BG
box 550 279 588 359 0.11559 0.678334 BG
box 549 327 590 392 0.110992 0.742730 BG
box 577 309 590 321 0.102102 0.548441 BG
whiteboard 1 3 67 125 0.365426 0.256811 windowshade
person 580 282 585 293 0.145967 0.762886 BG
person 573 224 590 322 0.144691 0.561647 BG
night_stand 277 169 361 253 0.180697 0.622877 BG
bag 483 367 536 432 0.431505 0.213567 BG
bag 95 423 141 440 0.109852 0.468829 BG
garbage_bin 78 377 97 435 0.220259 0.768634 BG
garbage_bin 272 224 276 227 0.143525 0.510417 BG
garbage_bin 34 405 95 440 0.123477 0.625861 BG
monitor 58 95 137 165 0.111495 0.637240 computer
