cabinet 183 190 464 452 0.326176 0.610279 file_cabinet
chair 106 60 209 215 0.758215 0.210468 BG
chair 3 95 90 322 0.687401 0.058749 chair
chair 157 66 214 133 0.429815 0.517018 BG
chair 158 50 235 94 0.319366 0.623297 BG
chair 0 32 52 79 0.27142 0.714532 BG
chair 156 86 179 130 0.19608 0.800945 BG
chair 173 85 188 127 0.107992 0.890334 BG
sofa 714 372 729 375 0.113465 0.197900 BG
sofa 107 54 218 231 0.113061 0.482161 BG
table 0 68 108 308 0.663168 0.040039 chair
table 84 63 172 226 0.169593 0.385164 BG
table 166 461 392 528 0.138543 0.358770 BG
bookshelf 158 9 193 61 0.355334 0.599155 BG
bookshelf 162 31 187 39 0.302366 0.642970 BG
bookshelf 176 24 187 33 0.179734 0.742911 BG
bookshelf 164 37 181 59 0.169103 0.747893 BG
picture 675 6 729 34 0.294534 0.257101 BG
picture 719 34 729 39 0.272299 0.237491 BG
picture 585 8 729 63 0.140853 0.516620 BG
picture 724 375 729 376 0.129866 0.160789 BG
picture 726 131 729 132 0.124946 0.192825 BG
picture 494 83 541 103 0.100904 0.491188 BG
counter 152 191 495 252 0.171425 0.821015 BG
counter 14 188 686 503 0.156259 0.833784 BG
counter 349 206 541 256 0.132661 0.803814 BG
counter 1 193 193 524 0.111195 0.864799 BG
desk 0 57 177 284 0.439965 0.353564 BG
desk 94 71 222 227 0.112704 0.409434 BG
fridge 368 116 381 215 0.126967 0.752836 BG
tv 364 122 489 231 0.66735 0.282511 microwave
tv 217 120 372 216 0.193569 0.660539 microwave
paper 3 63 97 129 0.293658 0.680784 BG
paper 509 0 590 46 0.273425 0.242201 BG
paper 513 17 530 22 0.269271 0.446607 BG
paper 599 3 675 31 0.254701 0.338971 BG
paper 449 0 521 44 0.250927 0.335259 BG
paper 298 495 403 529 0.223865 0.130715 BG
paper 442 18 471 35 0.223403 0.408664 BG
paper 351 54 362 72 0.22146 0.375138 BG
paper 673 28 679 30 0.216968 0.226262 BG
paper 595 22 598 25 0.210828 0.378366 BG
paper 574 487 727 529 0.20801 0.188512 BG
paper 469 462 570 529 0.19579 0.225162 BG
paper 702 455 729 523 0.192586 0.200714 BG
paper 726 173 729 176 0.176763 0.232384 BG
paper 344 68 349 71 0.172675 0.507318 BG
paper 712 252 729 274 0.166836 0.302647 BG
paper 692 190 729 214 0.166329 0.293434 BG
paper 645 2 673 7 0.165219 0.525467 BG
paper 37 485 84 529 0.164412 0.361272 BG
paper 702 149 729 173 0.164374 0.424465 BG
paper 527 64 626 97 0.163755 0.499852 BG
paper 547 90 613 115 0.162806 0.498529 BG
paper 548 79 549 81 0.153155 0.362505 BG
paper 619 73 692 101 0.152187 0.447760 BG
paper 726 131 729 132 0.15077 0.192825 BG
paper 685 39 689 42 0.149927 0.275341 BG
paper 402 10 470 39 0.149778 0.554740 BG
paper 444 12 585 72 0.149754 0.516038 BG
paper 42 514 52 525 0.149062 0.699458 BG
paper 577 28 609 48 0.147228 0.547563 BG
paper 536 23 548 46 0.146525 0.536592 BG
paper 530 0 727 46 0.146054 0.559350 BG
paper 634 98 651 122 0.145962 0.538898 BG
paper 66 491 79 503 0.1414 0.589053 BG
paper 675 79 729 106 0.140899 0.237082 BG
paper 567 29 578 48 0.140124 0.541809 BG
paper 646 2 729 34 0.139742 0.215380 BG
paper 578 95 645 118 0.138881 0.580754 BG
paper 492 64 566 103 0.137094 0.402146 BG
paper 537 19 641 51 0.136584 0.654209 BG
paper 581 54 586 69 0.136457 0.577100 BG
paper 569 1 648 5 0.13521 0.535959 BG
paper 569 53 588 73 0.13437 0.569396 BG
paper 576 111 593 117 0.133713 0.644699 BG
paper 702 156 711 168 0.130415 0.694126 BG
paper 630 73 649 78 0.130202 0.600636 BG
paper 519 42 536 45 0.129572 0.644702 BG
paper 724 290 729 293 0.128267 0.187232 BG
paper 63 500 65 502 0.127835 0.686302 BG
paper 655 37 729 62 0.126764 0.446697 BG
paper 37 511 59 529 0.121874 0.408740 BG
paper 699 149 729 154 0.120794 0.582538 BG
paper 547 109 593 117 0.119697 0.631975 BG
paper 572 89 677 144 0.119555 0.645163 BG
paper 650 57 662 79 0.116625 0.530607 BG
