bed 0 240 335 426 0.342837 0.500522 floor
chair 1 221 153 416 0.200703 0.247681 bed
chair 133 255 159 266 0.147875 0.808073 BG
chair 88 222 129 247 0.100816 0.776001 BG
sofa 16 220 259 412 0.817725 0.081534 BG
sofa 26 221 300 278 0.264342 0.560449 BG
sofa 9 222 124 313 0.164461 0.608814 BG
sofa 0 0 51 14 0.156322 0.258603 BG
door 481 5 522 110 0.153059 0.712499 BG
door 305 3 336 124 0.1179 0.292870 BG
picture 218 20 272 147 0.993612 0.005917 picture
picture 134 17 198 150 0.982177 0.011594 picture
picture 217 103 275 137 0.839058 0.153105 BG
picture 302 258 375 309 0.688049 0.231999 tray
picture 349 263 368 300 0.352221 0.629177 BG
picture 224 40 251 80 0.342036 0.653362 BG
picture 502 344 523 377 0.282074 0.689385 BG
picture 96 1 100 5 0.274597 0.408873 BG
picture 84 1 100 13 0.268983 0.378251 BG
picture 265 104 270 110 0.247055 0.700259 BG
picture 525 328 560 378 0.238503 0.637661 BG
picture 463 333 525 379 0.228254 0.729748 BG
picture 80 4 84 7 0.21933 0.496795 BG
picture 141 107 188 140 0.214849 0.781287 BG
picture 54 1 90 9 0.207013 0.449641 BG
picture 545 340 560 370 0.190935 0.417574 BG
picture 211 29 229 133 0.183378 0.810500 BG
picture 93 7 145 143 0.175906 0.673717 BG
picture 223 30 265 35 0.173513 0.799153 BG
picture 6 1 93 15 0.171405 0.343283 BG
picture 196 105 200 111 0.169057 0.633258 BG
picture 351 272 365 282 0.165595 0.822701 BG
picture 525 2 560 34 0.165285 0.228996 BG
picture 514 355 519 361 0.163637 0.803966 BG
picture 519 350 530 371 0.157826 0.769115 BG
picture 465 1 470 4 0.13657 0.718407 BG
picture 309 215 450 306 0.129484 0.840781 BG
picture 459 99 560 383 0.125169 0.774871 pictures
picture 526 363 539 375 0.125114 0.812802 BG
picture 496 369 529 383 0.100524 0.847935 BG
blinds 5 5 91 205 0.962872 0.013185 blinds
blinds 333 3 469 210 0.960933 0.030390 blinds
blinds 319 8 337 200 0.762557 0.143771 BG
blinds 319 0 401 125 0.758399 0.214514 BG
blinds 424 4 466 193 0.691183 0.187566 BG
blinds 10 145 104 212 0.610858 0.310021 BG
blinds 337 1 399 4 0.350488 0.487409 BG
blinds 424 114 429 144 0.304233 0.558817 BG
blinds 422 75 437 165 0.297668 0.511636 BG
blinds 331 168 446 225 0.271097 0.635663 BG
blinds 435 3 517 225 0.256451 0.487543 tv
blinds 338 176 350 211 0.252425 0.610302 BG
blinds 341 1 464 10 0.250752 0.667733 BG
blinds 1 145 5 188 0.170415 0.567830 BG
blinds 335 5 361 19 0.158904 0.796233 BG
blinds 339 185 350 191 0.155659 0.740580 BG
blinds 3 143 38 205 0.15331 0.699860 BG
blinds 356 3 400 13 0.148643 0.729575 BG
blinds 337 1 345 4 0.143021 0.752586 BG
blinds 317 64 330 138 0.115859 0.459357 BG
blinds 329 120 332 124 0.11325 0.646179 BG
blinds 362 3 399 6 0.112506 0.673278 BG
blinds 330 127 332 135 0.110679 0.638134 BG
pillow 8 238 113 294 0.462811 0.426200 BG
pillow 169 226 272 296 0.397749 0.245609 BG
pillow 172 232 206 291 0.242969 0.365196 BG
pillow 9 231 147 382 0.145414 0.324622 bed
pillow 22 224 263 265 0.137147 0.560449 BG
mirror 88 9 147 157 0.101356 0.673717 BG
clothes 147 234 276 301 0.209443 0.169808 BG
clothes 491 273 559 363 0.132382 0.603368 BG
clothes 195 255 265 287 0.117071 0.721074 BG
fridge 325 232 497 422 0.154806 0.736584 BG
tv 464 1 470 4 0.111645 0.718407 BG
paper 512 225 521 239 0.179917 0.668112 BG
paper 96 0 100 5 0.148216 0.408873 BG
paper 197 105 200 111 0.100686 0.633258 BG
box 385 267 414 273 0.265386 0.605043 BG
box 515 217 549 259 0.233058 0.548157 BG
box 445 176 457 184 0.226102 0.694423 BG
box 425 378 441 423 0.195017 0.536106 BG
box 434 170 457 184 0.186471 0.752157 BG
box 287 237 431 304 0.177534 0.770866 BG
box 433 177 455 207 0.163097 0.746717 BG
box 447 381 457 423 0.143706 0.587908 BG
box 520 245 542 265 0.12161 0.785619 BG
box 544 395 560 426 0.119133 0.299640 BG
box 434 424 436 426 0.116389 0.674458 BG
person 473 216 475 219 0.22377 0.743702 BG
person 463 211 472 224 0.132241 0.841607 BG
person 472 216 478 224 0.131066 0.827844 BG
person 554 338 560 345 0.107289 0.368443 BG
lamp 88 196 91 207 0.504243 0.483299 BG
lamp 96 163 107 208 0.421513 0.552370 BG
lamp 321 145 331 212 0.237831 0.489908 BG
lamp 88 205 92 209 0.2354 0.667472 BG
lamp 95 208 97 209 0.18529 0.622387 BG
lamp 510 127 557 210 0.166158 0.746305 BG
lamp 544 174 560 220 0.125027 0.554215 BG
lamp 526 145 531 174 0.114878 0.781482 BG
lamp 489 9 555 225 0.105416 0.699870 BG
bag 184 228 279 309 0.318747 0.281947 BG
bag 173 231 208 291 0.150773 0.365196 BG
bag 506 280 557 370 0.121047 0.599121 BG
bag 185 274 193 278 0.109746 0.638962 BG
bag 188 266 249 294 0.105073 0.728260 BG
garbage_bin 263 262 277 271 0.285645 0.658820 BG
garbage_bin 254 247 278 270 0.132011 0.763199 BG
garbage_bin 279 258 304 281 0.122198 0.841512 BG
