bed 9 0 501 506 0.999912 0.000079 bed
chair 39 516 64 523 0.264653 0.553108 BG
chair 306 521 334 526 0.141952 0.783618 BG
chair 99 517 114 521 0.132153 0.605654 BG
chair 140 528 144 529 0.106488 0.446016 BG
picture 2 7 23 90 0.584331 0.361673 painting
dresser 471 179 605 395 0.12391 0.371439 night_stand
pillow 203 109 368 174 0.85867 0.140800 pillow
pillow 299 120 385 195 0.704022 0.291134 BG
pillow 206 107 263 136 0.581005 0.407341 BG
pillow 237 117 310 154 0.499271 0.493513 BG
pillow 179 120 260 165 0.497278 0.501176 pillow
pillow 238 131 244 134 0.306705 0.690221 BG
pillow 177 126 207 144 0.29954 0.686912 BG
pillow 262 158 325 188 0.266868 0.732686 BG
pillow 317 160 324 175 0.220795 0.778993 BG
pillow 319 172 361 192 0.220712 0.778721 BG
pillow 330 143 365 167 0.215645 0.777424 BG
pillow 210 95 447 242 0.208521 0.782998 BG
pillow 176 82 307 147 0.195753 0.760930 pillow
pillow 204 132 246 142 0.192025 0.800836 BG
pillow 325 159 384 179 0.184156 0.814882 BG
pillow 366 127 373 147 0.164832 0.821103 BG
pillow 307 168 323 179 0.138634 0.861336 BG
pillow 378 116 382 117 0.117502 0.811703 BG
pillow 246 142 248 145 0.113534 0.884788 BG
pillow 324 172 432 196 0.109968 0.889621 BG
paper 248 84 249 85 0.173434 0.328541 BG
paper 244 81 254 83 0.122634 0.426291 BG
paper 251 82 264 88 0.119455 0.515444 BG
box 248 83 250 85 0.238839 0.328541 BG
box 243 80 254 83 0.234214 0.426291 BG
box 251 81 265 87 0.14994 0.515444 BG
box 494 514 505 529 0.114254 0.471589 BG
night_stand 469 217 585 386 0.643642 0.283035 night_stand
night_stand 216 365 503 525 0.1259 0.760176 BG
lamp 23 3 128 114 0.776977 0.219404 lamp
lamp 86 47 91 51 0.336501 0.592010 BG
lamp 487 88 621 226 0.330719 0.639774 lamp
lamp 76 59 141 127 0.318548 0.656901 BG
lamp 73 47 104 83 0.316114 0.637907 BG
lamp 72 48 94 58 0.25745 0.706904 BG
lamp 501 83 508 90 0.161032 0.762517 BG
lamp 92 49 97 51 0.159782 0.615957 BG
lamp 66 45 88 50 0.13025 0.858048 BG
lamp 6 0 59 118 0.108225 0.886400 BG
