chair 532 90 590 222 0.589113 0.212602 floor
sofa 587 174 590 177 0.111974 0.231583 BG
sofa 548 3 590 57 0.100214 0.536206 BG
table 500 73 584 212 0.813916 0.128474 BG
table 328 218 537 437 0.782543 0.033578 coffee_table&&floor
table 139 251 357 440 0.745471 0.021778 coffee_table
table 62 200 214 384 0.436751 0.258820 coffee_table
table 534 138 590 192 0.257607 0.227442 BG
table 50 118 194 224 0.163796 0.611842 BG
table 510 76 587 115 0.128996 0.733523 BG
picture 1 86 20 103 0.702574 0.246908 BG
picture 1 11 20 104 0.641015 0.284783 BG
picture 466 3 518 55 0.365577 0.467188 BG
picture 512 2 552 60 0.294697 0.440029 BG
picture 7 34 38 92 0.255315 0.578765 BG
picture 514 2 528 32 0.179911 0.554603 BG
picture 1 5 6 41 0.156032 0.314240 BG
picture 545 2 557 40 0.15031 0.649674 BG
picture 515 1 528 7 0.149006 0.475301 BG
picture 1 98 40 119 0.1093 0.796794 BG
counter 212 209 224 252 0.141955 0.631892 BG
desk 144 234 351 440 0.108677 0.021778 coffee_table
mirror 419 3 466 135 0.17358 0.505718 BG
tv 424 13 465 127 0.105144 0.505718 BG
paper 210 418 212 428 0.295318 0.202505 BG
paper 451 329 454 335 0.218751 0.206430 BG
paper 35 93 35 96 0.202426 0.331050 BG
paper 263 195 269 235 0.172106 0.388221 BG
paper 446 317 449 323 0.163291 0.403866 BG
paper 245 407 250 440 0.142861 0.272768 BG
paper 177 142 179 149 0.132133 0.481255 BG
paper 441 335 443 349 0.127593 0.525210 BG
paper 514 0 528 32 0.125313 0.554603 BG
paper 35 91 38 102 0.123771 0.516998 BG
paper 1 33 17 90 0.105116 0.667531 BG
paper 309 377 310 381 0.104632 0.526371 BG
box 548 72 570 78 0.347895 0.443326 BG
box 549 34 589 76 0.326339 0.287613 BG
box 567 72 570 76 0.291877 0.468451 BG
box 219 232 222 237 0.284341 0.575787 BG
box 35 93 36 96 0.270868 0.331050 BG
box 548 75 587 95 0.246096 0.596518 BG
box 548 73 554 78 0.238974 0.556189 BG
box 564 93 589 103 0.205069 0.516056 BG
box 160 122 164 125 0.18923 0.762492 BG
box 35 91 39 102 0.170073 0.516998 BG
box 210 418 213 428 0.165148 0.202505 BG
box 215 209 245 251 0.159649 0.553391 BG
box 263 192 270 234 0.157205 0.388221 BG
box 451 329 454 335 0.12737 0.206430 BG
box 445 317 449 323 0.126764 0.403866 BG
box 222 227 229 250 0.124385 0.605011 BG
box 190 353 211 429 0.119154 0.510958 BG
box 441 335 443 349 0.110325 0.525210 BG
box 213 210 228 237 0.107377 0.641464 BG
whiteboard 260 4 418 222 0.157255 0.673990 BG
whiteboard 468 2 555 136 0.12434 0.671133 BG
toilet 300 110 570 434 0.380019 0.247792 coffee_table&&floor
toilet 75 120 410 440 0.276889 0.308280 BG
lamp 103 244 119 248 0.173492 0.816509 BG
lamp 138 79 144 82 0.12828 0.790674 BG
garbage_bin 354 256 511 408 0.882196 0.063439 coffee_table
garbage_bin 78 312 84 320 0.788357 0.191779 BG
garbage_bin 69 237 134 356 0.747893 0.191653 BG
garbage_bin 355 270 398 404 0.739449 0.235043 BG
garbage_bin 297 316 351 432 0.634382 0.309219 BG
garbage_bin 359 278 374 390 0.625753 0.345439 BG
garbage_bin 358 365 360 383 0.624698 0.348172 BG
garbage_bin 360 359 363 363 0.599665 0.362262 BG
garbage_bin 363 349 368 360 0.596424 0.348901 BG
garbage_bin 77 315 85 334 0.594141 0.396258 BG
garbage_bin 359 353 371 387 0.593671 0.373326 BG
garbage_bin 336 371 351 436 0.576418 0.308640 BG
garbage_bin 351 349 359 383 0.541919 0.410284 BG
garbage_bin 368 356 372 360 0.53925 0.413887 BG
garbage_bin 98 320 105 324 0.469863 0.509068 BG
garbage_bin 371 349 381 387 0.465437 0.498507 BG
garbage_bin 357 352 360 359 0.454053 0.484786 BG
garbage_bin 335 413 337 421 0.43199 0.472698 BG
garbage_bin 105 302 118 328 0.415351 0.531652 BG
garbage_bin 106 324 110 329 0.408334 0.557984 BG
garbage_bin 414 139 474 213 0.392694 0.406462 BG
garbage_bin 374 314 391 374 0.379481 0.555944 BG
garbage_bin 110 307 114 317 0.372445 0.555803 BG
garbage_bin 353 382 370 412 0.36641 0.539361 BG
garbage_bin 107 320 118 328 0.357 0.611284 BG
garbage_bin 352 338 360 351 0.342274 0.555237 BG
garbage_bin 368 353 373 356 0.337511 0.571143 BG
garbage_bin 359 341 364 349 0.327031 0.553804 BG
garbage_bin 349 384 451 440 0.317643 0.408144 BG
garbage_bin 100 313 105 319 0.306992 0.663108 BG
garbage_bin 364 338 374 356 0.299326 0.575408 BG
garbage_bin 120 310 244 440 0.277521 0.522039 BG
garbage_bin 108 327 117 346 0.242327 0.723241 BG
garbage_bin 330 242 371 398 0.225133 0.757051 BG
garbage_bin 374 389 376 392 0.211535 0.745657 BG
garbage_bin 501 386 509 391 0.202225 0.732155 BG
garbage_bin 454 302 470 347 0.188968 0.365958 BG
garbage_bin 398 352 400 355 0.169765 0.603812 BG
garbage_bin 104 196 375 440 0.134573 0.142598 coffee_table
garbage_bin 499 341 504 352 0.123548 0.730544 BG
garbage_bin 72 337 83 345 0.110977 0.885300 BG
garbage_bin 159 317 165 327 0.108816 0.803130 BG
garbage_bin 167 325 170 332 0.10499 0.844379 BG
garbage_bin 416 160 462 172 0.104508 0.874911 BG
garbage_bin 417 133 448 171 0.101363 0.777028 BG
garbage_bin 161 331 169 345 0.100746 0.831489 BG
