bed 297 0 653 493 0.161868 0.621942 table
chair 74 121 455 512 0.8292 0.165089 chair
chair 344 6 481 102 0.485667 0.456033 sofa_chair
chair 445 20 643 160 0.196017 0.712294 sofa_chair
sofa 538 169 729 511 0.174152 0.728223 BG
table 115 92 691 493 0.733687 0.175368 table&&floor
desk 78 64 718 510 0.129434 0.307173 table&&floor
paper 210 502 215 509 0.268869 0.335728 BG
paper 229 21 250 44 0.250537 0.434226 BG
paper 215 511 219 514 0.238096 0.324489 BG
paper 0 314 65 430 0.198215 0.208056 BG
paper 142 481 225 525 0.198072 0.599777 BG
paper 223 58 239 65 0.185852 0.804625 BG
paper 11 319 13 322 0.183911 0.520040 BG
paper 5 321 10 326 0.175465 0.448031 BG
paper 205 490 223 521 0.167574 0.520379 BG
paper 233 60 239 65 0.144919 0.848460 BG
paper 707 242 729 267 0.139482 0.393995 BG
paper 368 217 382 228 0.127267 0.790607 BG
paper 17 484 711 529 0.124671 0.411285 BG
paper 1 325 5 328 0.12431 0.517196 BG
paper 198 8 199 16 0.11917 0.542331 BG
paper 297 19 328 34 0.105342 0.745953 BG
paper 296 12 318 24 0.105342 0.745953 BG
paper 168 71 169 73 0.105235 0.793556 BG
paper 205 489 211 500 0.102507 0.684654 BG
box 501 300 575 351 0.28849 0.706309 BG
box 210 500 214 505 0.246825 0.384437 BG
box 5 322 11 326 0.189432 0.448031 BG
box 1 326 6 328 0.186568 0.517196 BG
box 205 489 211 500 0.163414 0.684654 BG
box 153 32 188 56 0.157732 0.572568 BG
box 215 510 219 514 0.155569 0.324489 BG
box 118 16 186 68 0.131372 0.586284 BG
box 354 247 362 256 0.128922 0.865614 BG
box 205 487 224 521 0.12706 0.520379 BG
box 2 316 68 429 0.12086 0.208056 BG
box 11 319 14 322 0.119213 0.520040 BG
box 498 330 507 335 0.118154 0.876597 BG
box 493 329 525 351 0.111344 0.879628 BG
box 198 8 199 16 0.109129 0.542331 BG
box 141 478 228 525 0.106499 0.599777 BG
box 150 23 189 37 0.101802 0.776519 BG
garbage_bin 680 201 704 222 0.260786 0.696150 BG
garbage_bin 692 203 696 208 0.241058 0.734800 BG
garbage_bin 695 200 704 217 0.232478 0.644361 BG
garbage_bin 672 206 689 220 0.220674 0.768973 BG
garbage_bin 684 208 690 211 0.160131 0.830306 BG
garbage_bin 706 217 729 246 0.10341 0.405451 BG
