bed 36 45 440 440 0.15169 0.164693 shelf
sofa 0 7 551 440 0.880852 0.078982 BG
sofa 0 129 220 440 0.134462 0.422631 towel
picture 466 273 507 348 0.106473 0.405737 BG
pillow 186 46 393 216 0.81348 0.167771 towel
pillow 332 60 345 70 0.258135 0.669490 BG
pillow 185 105 187 110 0.184455 0.808934 BG
paper 94 406 97 407 0.226454 0.107113 BG
paper 26 416 30 425 0.219111 0.328468 BG
paper 16 415 20 417 0.212829 0.308005 BG
paper 351 424 361 431 0.212502 0.429874 BG
paper 374 428 374 431 0.208011 0.170741 BG
paper 461 367 467 371 0.200034 0.249852 BG
paper 461 373 466 374 0.186524 0.278077 BG
paper 1 399 24 440 0.181204 0.147578 BG
paper 462 361 469 366 0.179207 0.313413 BG
paper 431 384 442 386 0.176014 0.160878 BG
paper 376 430 377 431 0.171036 0.217337 BG
paper 466 368 470 373 0.170353 0.370448 BG
paper 445 212 445 214 0.164679 0.072292 BG
paper 413 217 416 220 0.16245 0.342010 BG
paper 331 430 334 440 0.162038 0.372782 BG
paper 542 318 548 319 0.158587 0.125436 BG
paper 442 238 447 239 0.158462 0.055651 BG
paper 0 322 14 332 0.156675 0.663485 BG
paper 399 207 417 225 0.154066 0.461839 BG
paper 478 97 483 104 0.153731 0.036339 BG
paper 548 195 549 196 0.152494 0.031029 BG
paper 477 88 480 95 0.151356 0.034590 BG
paper 395 404 397 408 0.150982 0.133882 BG
paper 399 376 418 384 0.147584 0.153937 BG
paper 454 202 463 212 0.147377 0.044489 BG
paper 543 194 546 198 0.146817 0.032814 BG
paper 445 203 453 210 0.144422 0.059379 BG
paper 0 306 18 324 0.142041 0.786311 BG
paper 1 385 14 399 0.139911 0.165806 BG
paper 393 392 399 401 0.138867 0.123251 BG
paper 566 303 568 306 0.137374 0.419383 BG
paper 399 386 402 390 0.136866 0.146783 BG
paper 403 384 412 387 0.136016 0.155218 BG
paper 233 222 244 232 0.132466 0.847967 BG
paper 454 192 460 201 0.131702 0.054221 BG
paper 206 420 224 434 0.130539 0.496571 BG
paper 1 359 3 368 0.129948 0.636058 BG
paper 1 109 6 116 0.127493 0.033972 BG
