chair 115 112 521 516 0.842178 0.145853 sofa_chair
sofa 9 135 721 407 0.944519 0.049454 BG
sofa 3 159 130 310 0.209605 0.553729 bookshelf
bookshelf 4 51 122 326 0.25883 0.644673 bookshelf
picture 397 5 463 82 0.615971 0.183419 BG
picture 182 1 456 78 0.500378 0.148236 BG
picture 418 45 429 56 0.4422 0.495592 BG
picture 445 40 451 59 0.408262 0.311787 BG
picture 400 44 447 73 0.379441 0.562688 BG
picture 318 39 456 83 0.364857 0.466020 BG
picture 2 1 61 14 0.333195 0.333553 BG
picture 405 30 451 58 0.318616 0.361214 BG
picture 8 73 92 179 0.277705 0.608646 BG
picture 446 32 458 81 0.276721 0.457941 BG
picture 406 46 411 54 0.272827 0.350915 BG
picture 18 140 41 161 0.270157 0.455273 BG
picture 430 44 437 66 0.264239 0.707892 BG
picture 3 119 49 167 0.253372 0.482136 BG
picture 2 88 42 119 0.249349 0.615998 BG
picture 398 54 410 68 0.219627 0.606224 BG
picture 449 36 451 41 0.211525 0.384075 BG
picture 1 7 14 11 0.197775 0.333742 BG
picture 51 94 70 105 0.182277 0.574582 BG
picture 1 98 5 113 0.180949 0.715284 BG
picture 8 12 77 119 0.171796 0.565800 BG
picture 398 38 411 62 0.169319 0.347178 BG
picture 443 62 449 71 0.164317 0.805265 BG
picture 403 54 423 71 0.161498 0.794395 BG
picture 188 0 268 66 0.147641 0.440953 BG
picture 434 32 448 41 0.145706 0.566798 BG
picture 38 139 47 154 0.123951 0.446917 BG
picture 43 89 90 136 0.120394 0.549939 BG
picture 386 59 398 69 0.120012 0.418467 BG
counter 0 175 142 308 0.114682 0.553729 bookshelf
counter 101 306 105 307 0.101006 0.829995 BG
blinds 44 130 95 166 0.11446 0.438045 BG
mirror 115 0 493 116 0.338666 0.376456 BG
mirror 172 1 322 75 0.229578 0.327743 BG
paper 15 34 30 49 0.525539 0.409324 BG
paper 31 33 65 37 0.375335 0.430143 BG
paper 4 0 64 37 0.220498 0.395444 BG
paper 41 139 46 145 0.215996 0.397984 BG
paper 5 29 67 60 0.2032 0.663405 BG
paper 387 29 450 72 0.191817 0.253908 BG
paper 446 39 451 58 0.186446 0.311787 BG
paper 449 35 451 41 0.175595 0.384075 BG
paper 9 8 23 11 0.169113 0.582724 BG
paper 417 31 447 41 0.163247 0.427575 BG
paper 399 39 410 62 0.15481 0.347178 BG
