bed 5 218 205 432 0.134441 0.772877 floor
chair 179 23 387 413 0.988565 0.010399 chair
chair 174 268 304 378 0.112179 0.886328 BG
sofa 1 251 4 255 0.152785 0.468114 BG
table 0 62 332 272 0.171997 0.361629 desk
picture 287 2 323 36 0.850572 0.135979 BG
picture 303 17 321 38 0.347854 0.603010 BG
picture 290 1 317 13 0.300198 0.678291 BG
picture 298 9 317 24 0.269212 0.681645 BG
picture 309 1 319 12 0.235337 0.724216 BG
picture 210 2 325 71 0.205098 0.738707 BG
picture 308 1 316 4 0.161936 0.817956 BG
picture 318 3 324 19 0.150006 0.784890 BG
picture 318 5 329 37 0.147907 0.775642 BG
picture 162 1 289 36 0.140146 0.731816 BG
counter 0 62 320 108 0.26299 0.733162 BG
counter 0 51 361 307 0.262762 0.362526 BG
desk 0 47 332 267 0.943105 0.030372 desk
paper 372 294 382 308 0.240523 0.368662 BG
paper 309 417 313 422 0.22529 0.527225 BG
paper 3 63 50 79 0.21709 0.756890 BG
paper 2 70 21 83 0.208395 0.765768 BG
paper 1 255 7 258 0.167948 0.374760 BG
paper 218 419 223 424 0.16641 0.509541 BG
paper 298 416 327 440 0.155911 0.378510 BG
paper 372 287 382 295 0.150291 0.399840 BG
paper 325 424 327 427 0.143694 0.547594 BG
paper 2 254 30 269 0.112241 0.543871 BG
paper 1 78 11 83 0.107978 0.842976 BG
box 217 419 224 424 0.183986 0.509541 BG
box 372 287 382 295 0.171274 0.399840 BG
box 578 124 582 127 0.160287 0.574704 BG
box 372 294 383 307 0.128452 0.368662 BG
box 297 414 325 440 0.111504 0.378510 BG
box 138 128 158 184 0.105425 0.759035 BG
box 309 416 312 422 0.102686 0.527225 BG
bag 166 202 188 212 0.140827 0.639031 BG
bag 161 208 178 216 0.110257 0.737718 BG
garbage_bin 291 299 509 440 0.60795 0.328580 garbage_bin
garbage_bin 311 390 327 405 0.250282 0.729150 BG
garbage_bin 324 307 374 414 0.154625 0.840357 BG
garbage_bin 412 368 414 376 0.148457 0.557992 BG
garbage_bin 316 384 322 392 0.13012 0.834298 BG
garbage_bin 325 424 327 427 0.12082 0.547594 BG
garbage_bin 309 401 329 422 0.120524 0.748277 BG
garbage_bin 295 390 329 440 0.10772 0.611859 BG
