bed 105 217 495 423 0.59982 0.339547 floor
chair 433 120 552 292 0.314908 0.580878 bed
chair 455 110 498 164 0.271913 0.694157 BG
chair 114 120 360 399 0.239291 0.592624 sofa
chair 466 130 469 144 0.123778 0.869873 BG
chair 462 138 483 159 0.117665 0.875484 BG
sofa 478 92 559 312 0.476425 0.439149 BG
sofa 553 128 560 133 0.24164 0.654633 BG
sofa 548 141 554 143 0.23903 0.752662 BG
sofa 500 127 558 153 0.124976 0.856933 BG
table 346 143 499 276 0.197515 0.424098 night_stand
table 105 184 356 352 0.104317 0.484018 sofa
picture 556 0 560 16 0.296171 0.654996 BG
picture 533 3 560 26 0.276742 0.690970 BG
picture 543 0 559 8 0.262054 0.708776 BG
picture 483 0 497 20 0.236098 0.749144 BG
picture 472 0 536 33 0.200205 0.761449 BG
picture 1 1 23 89 0.146859 0.842887 picture
picture 520 3 537 27 0.134649 0.825891 BG
picture 536 19 539 26 0.119311 0.762972 BG
picture 507 14 556 32 0.117281 0.813578 BG
picture 485 20 487 26 0.116384 0.618297 BG
picture 535 0 544 12 0.114151 0.865292 BG
picture 429 103 432 105 0.107254 0.666195 BG
desk 111 175 359 378 0.628025 0.271363 sofa
desk 362 133 489 274 0.22858 0.396996 night_stand
pillow 337 284 353 306 0.148075 0.799702 BG
pillow 333 296 343 306 0.133754 0.851648 BG
clothes 98 298 196 426 0.204701 0.170332 BG
clothes 91 363 128 426 0.150884 0.453153 BG
clothes 115 364 162 426 0.11735 0.236502 BG
clothes 114 398 133 424 0.115956 0.362638 BG
clothes 146 391 196 425 0.113949 0.420242 BG
fridge 420 25 449 121 0.141137 0.781007 BG
paper 159 232 179 237 0.698223 0.278600 BG
paper 172 240 173 241 0.53422 0.417659 BG
paper 402 144 487 172 0.380394 0.605951 BG
paper 153 234 162 243 0.217285 0.739954 BG
paper 183 217 191 226 0.20241 0.773759 BG
paper 417 173 448 183 0.171726 0.816865 BG
paper 555 306 560 312 0.167101 0.307169 BG
paper 151 218 159 225 0.131097 0.848979 BG
paper 389 148 414 164 0.111783 0.855350 BG
paper 270 198 333 221 0.10732 0.860218 BG
paper 548 26 560 31 0.105724 0.566560 BG
paper 231 176 236 191 0.101679 0.654057 BG
box 460 102 493 109 0.314431 0.629474 BG
box 373 146 486 263 0.249475 0.498480 night_stand
box 430 31 496 110 0.238953 0.589411 BG
box 460 108 462 110 0.178531 0.793498 BG
box 485 20 486 26 0.163731 0.618297 BG
box 448 89 491 103 0.160063 0.813490 BG
box 332 284 342 295 0.157475 0.783126 BG
box 323 291 326 294 0.14821 0.757118 BG
box 327 293 332 295 0.129955 0.774313 BG
box 304 279 337 299 0.122323 0.838346 BG
box 449 95 459 109 0.114696 0.841304 BG
box 459 103 500 127 0.107337 0.773824 BG
box 555 305 560 311 0.105535 0.307169 BG
box 330 288 333 293 0.105409 0.841454 BG
box 453 90 472 96 0.102483 0.870572 BG
box 158 311 241 346 0.100645 0.770121 BG
person 553 122 560 127 0.156364 0.766255 BG
person 538 117 554 128 0.145793 0.843440 BG
person 114 396 133 426 0.12771 0.362638 BG
person 147 369 216 426 0.122165 0.395744 BG
person 550 94 560 122 0.107452 0.888118 BG
lamp 345 184 395 209 0.168456 0.605088 BG
lamp 450 55 453 62 0.120395 0.863826 BG
lamp 430 60 467 118 0.118635 0.594354 BG
bag 94 343 176 425 0.813422 0.050553 BG
bag 108 362 143 408 0.520332 0.374593 BG
bag 92 371 129 425 0.417075 0.440002 BG
bag 140 363 196 426 0.321147 0.423362 BG
bag 111 365 128 392 0.319221 0.626151 BG
bag 114 383 160 426 0.295146 0.460696 BG
bag 114 400 132 426 0.289824 0.362638 BG
bag 141 368 161 389 0.270124 0.615853 BG
bag 117 400 124 415 0.238759 0.651364 BG
bag 142 345 175 389 0.214889 0.714877 BG
bag 186 400 202 418 0.192986 0.656885 BG
bag 141 368 147 376 0.179758 0.747737 BG
bag 143 405 193 426 0.172357 0.496931 BG
bag 171 383 214 426 0.157695 0.587488 BG
bag 119 362 142 374 0.141995 0.836323 BG
bag 98 295 331 425 0.129595 0.477939 back_pack
bag 115 341 147 374 0.128533 0.856717 BG
bag 136 368 140 371 0.121028 0.832807 BG
bag 191 410 208 426 0.116464 0.552010 BG
bag 160 421 180 426 0.112759 0.503265 BG
bag 184 407 192 420 0.112475 0.769751 BG
bag 196 410 201 416 0.107934 0.706375 BG
bag 172 395 187 410 0.104548 0.838801 BG
bag 165 394 174 406 0.100768 0.799400 BG
garbage_bin 348 198 391 254 0.359627 0.523632 BG
garbage_bin 360 223 367 235 0.256571 0.658927 BG
