chair 339 130 514 289 0.832261 0.166411 chair
table 0 151 216 440 0.19851 0.622303 recycle_bin
table 320 91 539 284 0.104916 0.771181 BG
door 2 2 66 169 0.108342 0.230102 BG
picture 301 2 306 38 0.15126 0.664016 BG
picture 46 0 175 47 0.123416 0.625520 BG
picture 303 1 305 16 0.107988 0.800375 BG
blinds 248 1 267 65 0.387669 0.481559 BG
blinds 219 1 299 68 0.339298 0.450545 BG
blinds 47 3 202 98 0.330061 0.499673 BG
blinds 261 0 267 34 0.278931 0.669516 BG
blinds 207 1 246 71 0.1138 0.743622 BG
pillow 4 148 44 161 0.123185 0.703811 BG
pillow 1 168 8 169 0.116962 0.777319 BG
pillow 252 181 279 212 0.102082 0.897741 BG
clothes 306 176 317 189 0.379359 0.505159 BG
clothes 5 148 47 162 0.107836 0.703811 BG
fridge 0 297 42 440 0.117952 0.606896 BG
paper 98 373 103 382 0.274237 0.481172 BG
paper 90 379 95 385 0.25472 0.565451 BG
paper 103 380 105 383 0.203048 0.540048 BG
paper 90 386 93 396 0.169234 0.573636 BG
paper 55 20 174 87 0.15985 0.647775 BG
paper 19 389 64 440 0.138817 0.657381 BG
paper 406 259 415 265 0.123336 0.670245 BG
paper 96 386 190 440 0.107093 0.606843 BG
paper 1 423 31 440 0.101514 0.317457 BG
towel 53 315 56 320 0.234617 0.504728 BG
box 102 380 106 384 0.159003 0.540048 BG
box 97 372 104 383 0.128478 0.481172 BG
box 89 385 94 397 0.127953 0.573636 BG
box 585 63 590 69 0.125468 0.679006 BG
box 0 422 32 440 0.107382 0.317457 BG
whiteboard 4 5 65 189 0.211017 0.230102 BG
whiteboard 360 0 470 115 0.152232 0.765748 BG
sink 0 143 132 407 0.370338 0.364461 recycle_bin
sink 111 177 362 379 0.268499 0.127974 recycle_bin
garbage_bin 204 154 335 382 0.860927 0.026640 recycle_bin
garbage_bin 194 219 230 379 0.452926 0.527973 BG
garbage_bin 222 246 240 383 0.37203 0.595164 BG
garbage_bin 11 211 136 399 0.20764 0.531910 recycle_bin
garbage_bin 320 312 324 334 0.175595 0.730774 BG
garbage_bin 92 184 107 205 0.140261 0.790248 BG
garbage_bin 330 195 339 205 0.127731 0.841818 BG
garbage_bin 314 190 339 209 0.108358 0.859753 BG
