cabinet 437 326 560 426 0.103404 0.509436 file_cabinet
bookshelf 507 10 559 152 0.274422 0.565560 shelf&&shelves
bookshelf 0 319 23 340 0.117366 0.687739 BG
picture 502 160 559 258 0.499021 0.243471 paper
picture 544 187 560 245 0.360187 0.417753 BG
picture 503 206 521 240 0.274381 0.567002 BG
picture 33 2 80 61 0.270769 0.335724 BG
picture 522 198 541 241 0.270666 0.616336 BG
picture 556 217 560 219 0.249999 0.540100 BG
picture 372 199 380 215 0.226516 0.508161 BG
picture 72 3 167 43 0.218274 0.351840 BG
picture 497 208 503 218 0.203035 0.353833 BG
picture 551 217 560 241 0.200574 0.606031 BG
picture 10 25 114 77 0.193596 0.626936 BG
picture 363 202 372 223 0.170385 0.564750 BG
picture 83 28 144 62 0.15806 0.576953 BG
picture 554 207 560 216 0.131625 0.554628 BG
picture 3 3 38 62 0.126469 0.515578 BG
picture 1 38 27 64 0.116021 0.360586 BG
picture 506 2 517 26 0.114819 0.688114 BG
picture 76 92 111 111 0.109169 0.867873 BG
picture 73 61 84 62 0.10701 0.706486 BG
pillow 170 32 172 40 0.106437 0.657742 BG
fridge 30 70 145 425 0.333132 0.538116 ladder
tv 0 420 2 426 0.101284 0.340330 BG
paper 32 22 82 61 0.566156 0.125774 BG
paper 32 30 41 51 0.507403 0.424695 BG
paper 43 22 63 29 0.322049 0.388348 BG
paper 22 31 31 47 0.322044 0.570662 BG
paper 528 44 538 47 0.316157 0.656139 BG
paper 39 40 57 55 0.302901 0.563656 BG
paper 3 23 40 65 0.29269 0.309369 BG
paper 536 17 560 57 0.25483 0.690466 BG
paper 536 52 560 73 0.222051 0.531921 BG
paper 497 207 503 218 0.221835 0.353833 BG
paper 55 44 70 58 0.220489 0.588606 BG
paper 20 207 27 229 0.180551 0.602164 BG
paper 312 400 319 409 0.179734 0.521045 BG
paper 545 160 557 164 0.178982 0.534304 BG
paper 219 399 292 426 0.171716 0.268982 BG
paper 1 39 17 48 0.159442 0.459680 BG
paper 541 368 551 374 0.153582 0.348612 BG
paper 514 20 560 88 0.147163 0.762922 BG
paper 6 137 21 144 0.146233 0.766006 BG
paper 510 161 552 241 0.143783 0.594770 paper
paper 555 356 560 359 0.14032 0.329602 BG
paper 19 264 22 270 0.139549 0.702362 BG
paper 12 415 24 419 0.137227 0.583566 BG
paper 6 30 24 43 0.136804 0.494180 BG
paper 20 245 27 276 0.135038 0.713759 BG
paper 55 54 64 58 0.12882 0.491666 BG
paper 553 374 555 378 0.126254 0.377352 BG
paper 13 382 29 425 0.12185 0.403095 BG
paper 532 156 547 164 0.1208 0.641295 BG
paper 548 160 560 176 0.11989 0.516834 BG
paper 550 175 560 189 0.118754 0.513728 BG
paper 301 384 351 426 0.117456 0.409821 BG
paper 550 173 560 242 0.115945 0.398918 BG
paper 8 189 17 194 0.113676 0.647219 BG
paper 342 416 355 426 0.112905 0.223427 BG
paper 400 401 407 407 0.111887 0.735389 BG
paper 11 260 23 266 0.111837 0.788865 BG
paper 503 206 512 240 0.110117 0.592653 BG
paper 10 274 21 281 0.108082 0.777585 BG
paper 7 174 27 206 0.107769 0.724915 BG
paper 372 404 401 426 0.106235 0.416716 BG
paper 550 374 560 379 0.106127 0.500481 BG
paper 12 207 21 218 0.105762 0.802700 BG
paper 550 70 560 77 0.101563 0.567267 BG
box 504 143 560 254 0.275678 0.402422 paper
box 1 23 43 63 0.243062 0.309369 BG
box 31 9 81 60 0.224857 0.278519 BG
box 55 53 64 58 0.218845 0.491666 BG
box 549 173 560 238 0.192817 0.398918 BG
box 14 35 24 43 0.191498 0.615398 BG
box 13 419 23 426 0.186741 0.355139 BG
box 496 207 503 217 0.181086 0.353833 BG
box 340 369 352 390 0.174679 0.767137 BG
box 529 199 541 204 0.173414 0.650437 BG
box 536 50 560 78 0.160527 0.571094 BG
box 13 380 30 424 0.159269 0.403095 BG
box 550 175 560 189 0.154685 0.513728 BG
box 13 415 25 419 0.145528 0.583566 BG
box 548 160 560 176 0.145493 0.516834 BG
box 158 0 279 49 0.144019 0.397844 BG
box 12 397 24 414 0.142303 0.658452 BG
box 527 239 532 242 0.138425 0.735691 BG
box 1 44 27 63 0.133371 0.357711 BG
box 217 396 292 426 0.126885 0.268982 BG
box 1 39 18 48 0.125479 0.459680 BG
box 549 69 560 78 0.125184 0.567267 BG
box 558 89 560 103 0.117987 0.468117 BG
box 544 159 556 164 0.117508 0.534304 BG
box 532 236 544 243 0.113692 0.737997 BG
box 350 401 400 426 0.110917 0.336875 BG
box 122 100 125 103 0.101867 0.840863 BG
box 38 39 58 55 0.101546 0.563656 BG
whiteboard 66 1 171 50 0.107696 0.351840 BG
person 556 202 560 207 0.282994 0.618416 BG
person 38 0 63 25 0.246558 0.456065 BG
person 555 207 560 217 0.200642 0.554628 BG
person 57 14 63 25 0.165011 0.512697 BG
lamp 83 27 145 67 0.123008 0.576953 BG
lamp 144 37 144 42 0.110384 0.759843 BG
lamp 72 1 168 48 0.101145 0.351840 BG
bag 40 1 62 15 0.118279 0.524860 BG
bag 32 3 62 50 0.102827 0.521202 BG
garbage_bin 122 393 190 426 0.115058 0.474016 BG
