chair 363 155 508 358 0.991953 0.005240 chair
table 407 139 564 309 0.175802 0.240343 BG
door 397 3 407 96 0.106384 0.680906 BG
bookshelf 287 225 290 232 0.107499 0.843258 BG
picture 564 271 590 300 0.468861 0.523636 BG
picture 324 0 397 91 0.179831 0.429766 BG
picture 391 2 396 95 0.159159 0.734342 BG
picture 582 231 590 241 0.130201 0.552656 BG
picture 240 26 249 59 0.122804 0.656095 BG
picture 230 0 261 80 0.113298 0.733543 BG
picture 390 66 392 71 0.101153 0.868789 BG
picture 277 1 291 5 0.100301 0.608960 BG
desk 182 124 590 308 0.985205 0.010675 desk
desk 527 180 590 325 0.501527 0.373523 box
mirror 190 10 420 115 0.770221 0.179794 window
mirror 209 2 242 130 0.290775 0.609491 BG
mirror 318 2 396 75 0.188651 0.546156 BG
clothes 0 57 94 308 0.303484 0.328422 BG
clothes 229 1 262 49 0.198297 0.588468 BG
clothes 585 400 590 438 0.193562 0.130733 BG
clothes 214 0 221 4 0.106522 0.785653 BG
fridge 173 166 312 296 0.483288 0.275307 fridge
fridge 173 163 195 310 0.205332 0.611035 BG
fridge 24 16 214 440 0.153743 0.785935 BG
tv 348 1 388 4 0.178546 0.760739 BG
paper 480 3 494 20 0.427361 0.419408 BG
paper 477 1 505 7 0.360347 0.556749 BG
paper 246 118 317 149 0.275272 0.654558 BG
paper 471 2 476 9 0.264469 0.559690 BG
paper 565 30 567 32 0.225357 0.301733 BG
paper 487 0 496 4 0.213535 0.777449 BG
paper 475 0 478 3 0.192438 0.788212 BG
paper 523 105 534 116 0.182972 0.639325 BG
paper 506 0 521 2 0.174639 0.805885 BG
paper 507 114 528 118 0.160033 0.623717 BG
paper 519 115 520 117 0.15547 0.700442 BG
paper 509 105 549 118 0.15065 0.731650 paper
paper 522 115 528 118 0.150012 0.687609 BG
paper 290 118 299 127 0.141343 0.786264 BG
paper 570 326 576 328 0.117775 0.496099 BG
paper 560 326 576 337 0.109948 0.539845 BG
paper 239 25 249 56 0.10877 0.656095 BG
paper 298 117 318 128 0.104682 0.834637 BG
paper 540 188 568 201 0.104124 0.851149 BG
towel 0 76 150 344 0.455627 0.129282 BG
towel 11 78 50 100 0.102731 0.801118 BG
box 565 30 568 32 0.237893 0.301733 BG
box 542 198 590 261 0.187371 0.676098 BG
box 475 190 521 260 0.134186 0.817757 BG
box 176 192 212 295 0.113071 0.709693 BG
box 186 268 193 287 0.107258 0.724010 BG
box 181 163 279 292 0.1041 0.639076 fridge
whiteboard 481 2 590 111 0.184423 0.701068 BG
person 581 163 590 175 0.633374 0.324931 BG
person 583 173 590 194 0.59846 0.295437 BG
person 585 410 590 440 0.555494 0.089342 BG
person 574 157 590 207 0.540457 0.321449 BG
person 576 179 586 199 0.483585 0.376382 BG
person 574 160 580 175 0.244129 0.677626 BG
person 559 164 574 176 0.157598 0.757469 BG
person 547 151 588 262 0.138862 0.694346 BG
person 552 162 577 198 0.135916 0.691122 BG
garbage_bin 321 219 377 252 0.20129 0.754144 BG
