bed 0 162 227 414 0.989358 0.010044 bed
door 535 42 560 316 0.2146 0.387143 BG
door 351 3 393 145 0.199697 0.585237 BG
door 555 204 560 277 0.168464 0.360617 BG
door 552 43 560 130 0.112212 0.497725 BG
picture 240 1 352 108 0.925634 0.051231 poster&&picture
picture 420 0 471 118 0.91142 0.081042 poster&&picture
picture 443 60 464 108 0.522704 0.437656 BG
picture 447 2 467 65 0.410641 0.494588 BG
picture 242 2 260 24 0.292884 0.475762 BG
picture 334 2 348 106 0.275992 0.594591 BG
picture 419 62 450 113 0.270654 0.712303 BG
picture 298 36 340 103 0.265771 0.684656 BG
picture 556 273 560 282 0.200364 0.694387 BG
picture 323 56 335 67 0.193465 0.766313 BG
picture 346 1 347 8 0.182038 0.524944 BG
picture 342 35 347 81 0.174364 0.477685 BG
picture 242 1 246 10 0.167554 0.558455 BG
picture 242 1 340 24 0.165758 0.789020 BG
picture 435 35 445 55 0.159919 0.753531 BG
picture 255 3 262 14 0.149303 0.559266 BG
picture 435 11 450 64 0.148962 0.715459 BG
picture 336 63 343 98 0.144316 0.771829 BG
picture 189 1 204 30 0.127888 0.717258 BG
picture 244 6 285 57 0.122964 0.840107 BG
picture 245 50 293 109 0.108854 0.670574 BG
picture 192 1 202 11 0.107917 0.770047 BG
picture 260 4 262 7 0.104185 0.651233 BG
picture 300 50 337 71 0.102514 0.859726 BG
desk 178 183 387 366 0.116843 0.722428 BG
dresser 192 158 347 350 0.131186 0.572125 BG
pillow 1 183 48 235 0.858048 0.044749 pillow
pillow 87 213 154 259 0.73147 0.268510 BG
pillow 1 191 15 248 0.575804 0.277592 BG
pillow 13 210 54 256 0.116447 0.793393 BG
mirror 534 27 560 333 0.139176 0.387143 BG
clothes 161 0 175 32 0.361329 0.602368 BG
clothes 142 0 194 29 0.287611 0.657097 BG
clothes 162 0 165 6 0.207236 0.779825 BG
clothes 145 0 176 13 0.153465 0.831793 BG
clothes 175 0 192 12 0.111354 0.852533 BG
tv 345 1 347 8 0.122322 0.524944 BG
paper 303 214 319 218 0.334119 0.594805 BG
paper 296 202 322 217 0.273503 0.673919 BG
paper 271 208 281 215 0.269347 0.677746 BG
paper 280 205 289 213 0.252559 0.705605 BG
paper 293 214 295 217 0.244264 0.677202 BG
paper 273 360 307 414 0.229579 0.231511 BG
paper 282 209 299 220 0.21057 0.757621 BG
paper 266 194 333 224 0.20153 0.756619 BG
paper 226 402 240 417 0.2008 0.308572 BG
paper 263 194 283 210 0.166122 0.750087 BG
paper 291 158 331 200 0.146068 0.746575 BG
paper 358 338 365 346 0.128764 0.798712 BG
paper 17 176 24 181 0.123673 0.759671 BG
paper 356 330 369 344 0.118483 0.823487 BG
paper 401 410 432 426 0.117226 0.387847 BG
paper 50 251 57 259 0.113552 0.459445 BG
paper 1 251 73 426 0.112449 0.101076 BG
paper 350 328 359 352 0.110544 0.804263 BG
paper 287 68 300 97 0.10325 0.692986 BG
paper 279 33 349 115 0.100357 0.357829 BG
box 364 290 364 292 0.14562 0.668634 BG
box 295 181 338 228 0.12572 0.713861 box
box 226 401 240 417 0.110943 0.308572 BG
box 76 416 97 426 0.109732 0.514270 BG
box 288 155 331 203 0.103806 0.746575 BG
person 39 205 49 237 0.186958 0.539652 BG
night_stand 202 190 346 349 0.335079 0.450717 night_stand
night_stand 152 151 203 203 0.102259 0.804480 BG
garbage_bin 335 317 432 401 0.880902 0.116564 garbage_bin
garbage_bin 335 305 436 346 0.281201 0.620895 BG
garbage_bin 421 336 428 343 0.211339 0.787739 BG
garbage_bin 317 337 351 400 0.152122 0.725077 BG
garbage_bin 430 333 434 338 0.149996 0.845778 BG
garbage_bin 427 339 429 346 0.144179 0.852981 BG
garbage_bin 271 356 307 415 0.141274 0.231511 BG
garbage_bin 551 354 560 426 0.136898 0.386542 BG
garbage_bin 342 40 347 103 0.134605 0.547630 BG
garbage_bin 423 339 431 354 0.131992 0.867411 BG
garbage_bin 225 402 240 417 0.123735 0.308572 BG
garbage_bin 432 323 438 333 0.120806 0.835965 BG
garbage_bin 260 333 400 426 0.119899 0.814292 floor
garbage_bin 395 331 443 423 0.115406 0.882621 BG
garbage_bin 0 245 79 424 0.100705 0.101076 BG
