cabinet 230 189 438 477 0.104064 0.774649 desk
chair 591 267 729 510 0.889856 0.105688 chair
chair 583 138 687 416 0.603594 0.390243 BG
chair 638 93 715 149 0.291533 0.665173 BG
chair 709 77 729 166 0.265716 0.586438 BG
chair 580 135 635 280 0.243518 0.736709 BG
chair 610 98 721 222 0.231173 0.729343 BG
chair 661 198 729 422 0.224706 0.428840 BG
chair 677 135 729 183 0.209075 0.658210 BG
chair 605 174 662 280 0.165429 0.797862 BG
chair 639 151 704 344 0.158493 0.814769 BG
chair 644 198 668 272 0.133001 0.842016 BG
chair 598 186 637 229 0.124777 0.827021 BG
chair 678 113 718 143 0.108363 0.711564 BG
chair 695 143 719 165 0.107091 0.852588 BG
chair 638 115 662 124 0.105672 0.893183 BG
chair 670 123 681 131 0.100073 0.888589 BG
sofa 18 188 264 509 0.46314 0.451798 BG
sofa 1 281 64 443 0.119096 0.319929 BG
table 114 163 599 432 0.686267 0.231065 BG
table 655 110 724 154 0.100067 0.625050 BG
picture 449 0 623 39 0.364063 0.529760 curtain
picture 594 1 612 28 0.228235 0.677101 BG
picture 455 1 463 38 0.120653 0.804228 BG
picture 551 0 614 30 0.119869 0.727004 BG
picture 455 0 488 38 0.105315 0.792992 BG
blinds 640 0 729 55 0.232661 0.443433 BG
pillow 232 522 240 525 0.136796 0.853417 BG
pillow 224 510 232 521 0.128324 0.867652 BG
pillow 0 302 7 317 0.121576 0.252192 BG
pillow 232 501 252 525 0.112615 0.879542 BG
pillow 226 509 241 522 0.10623 0.890492 BG
clothes 17 332 18 335 0.180673 0.522599 BG
clothes 1 302 30 385 0.168847 0.131616 BG
clothes 20 336 22 344 0.148613 0.607358 BG
fridge 282 215 472 525 0.1103 0.739840 BG
paper 52 410 54 412 0.291771 0.595856 BG
paper 18 481 247 529 0.276146 0.496594 BG
paper 1 519 19 525 0.261322 0.278644 BG
paper 16 482 89 521 0.253793 0.478093 BG
paper 593 223 603 242 0.217283 0.666704 BG
paper 308 503 310 505 0.203053 0.598281 BG
paper 54 413 56 417 0.201742 0.718662 BG
paper 294 11 305 35 0.201041 0.393773 BG
paper 297 514 304 519 0.197892 0.656179 BG
paper 115 526 231 529 0.193362 0.316217 BG
paper 592 229 611 265 0.171873 0.683979 BG
paper 49 401 51 405 0.158234 0.738215 BG
paper 57 420 59 426 0.148634 0.778816 BG
paper 26 137 81 169 0.138137 0.711861 BG
paper 294 523 324 529 0.133594 0.190686 BG
paper 2 363 57 432 0.131603 0.361569 BG
paper 116 504 318 529 0.130376 0.437169 BG
paper 275 520 296 523 0.126267 0.662048 BG
paper 27 483 38 495 0.125181 0.445154 BG
paper 253 493 322 529 0.124113 0.737641 BG
paper 697 342 702 348 0.123438 0.716442 BG
paper 721 167 729 173 0.114746 0.306948 BG
paper 435 412 446 429 0.114157 0.631801 BG
paper 46 394 47 398 0.111963 0.789553 BG
paper 686 335 700 401 0.108892 0.702161 BG
paper 107 519 111 525 0.105921 0.576519 BG
paper 589 203 600 222 0.104602 0.842303 BG
paper 103 512 111 524 0.103792 0.595900 BG
paper 253 520 323 529 0.101276 0.379079 BG
paper 598 209 607 223 0.10104 0.830014 BG
towel 0 301 30 387 0.192878 0.131616 BG
towel 0 302 7 317 0.157533 0.252192 BG
towel 295 11 305 35 0.104159 0.393773 BG
box 712 278 729 321 0.702381 0.235237 BG
box 690 282 725 337 0.643165 0.328813 BG
box 672 210 728 335 0.537417 0.306133 BG
box 667 234 691 271 0.413082 0.556002 BG
box 26 483 38 495 0.286568 0.445154 BG
box 30 486 34 490 0.274409 0.520100 BG
box 669 270 677 283 0.26696 0.698326 BG
box 26 479 85 512 0.258702 0.473260 BG
box 664 257 671 266 0.253814 0.677250 BG
box 663 260 696 317 0.242028 0.738991 BG
box 662 263 670 270 0.210087 0.709239 BG
box 11 141 64 173 0.199516 0.643408 BG
box 158 446 167 454 0.186959 0.802521 BG
box 698 301 729 413 0.184416 0.622778 BG
box 1 518 19 525 0.159855 0.278644 BG
box 430 224 448 276 0.149965 0.808155 BG
box 2 451 127 529 0.149325 0.555156 BG
box 36 479 55 505 0.128957 0.696259 BG
box 655 251 668 264 0.12848 0.825753 BG
box 642 2 729 44 0.120254 0.669422 BG
box 1 365 64 430 0.111569 0.361569 BG
box 675 287 682 295 0.110075 0.870441 BG
box 587 287 599 292 0.104818 0.816815 BG
box 51 500 60 508 0.104165 0.738834 BG
box 689 327 706 351 0.103859 0.786099 BG
box 685 334 702 402 0.10194 0.702161 BG
box 710 169 713 173 0.101617 0.669207 BG
whiteboard 12 0 396 116 0.660335 0.160937 BG
lamp 641 21 728 56 0.190773 0.523528 BG
garbage_bin 720 174 729 185 0.130461 0.269333 BG
garbage_bin 707 166 729 185 0.106633 0.313731 BG
garbage_bin 720 167 729 173 0.102196 0.306948 BG
