000199,bathtub,31.6,108.9,494.9,474.9,0.078,0.922,bathtub
004118,bathtub,1,139.1,258.1,436,0.061,0.939,bathtub
002615,bathtub,268.1,228.5,561,427,0.061,0.939,bathtub
002146,bathtub,239.3,217.5,485.1,423.8,0.043,0.957,bathtub
002057,bathtub,115.2,181.6,302.9,388.3,0.036,0.964,bathtub
004188,bathtub,398.1,60.3,584.3,420.7,0.026,0.974,bathtub
004239,bathtub,449.5,39.5,591,439,0.021,0.979,bathtub
004240,bathtub,489.7,47.8,591,426.8,0.02,0.98,bathtub
004279,bathtub,1,71.1,285.2,414.6,0.019,0.981,bathtub
004216,bathtub,4.9,143,110.7,441,0.008,0.992,bathtub
002150,bathtub,298.1,301.2,397,427,0.006,0.994,bathtub
