002093,garbage_bin,142,327.9,279.7,427,0.095,0.905,garbage_bin
002069,garbage_bin,131.1,336.5,191,411.2,0.094,0.906,garbage_bin
002306,garbage_bin,225.1,190.5,255.1,226.3,0.091,0.909,garbage_bin
003144,garbage_bin,19.7,138.2,164.4,415.3,0.085,0.915,garbage_bin
003874,garbage_bin,499.3,346.9,591,439.6,0.084,0.916,garbage_bin
002863,garbage_bin,147.3,243.5,212.4,313.6,0.084,0.916,garbage_bin
003676,garbage_bin,449.4,206.2,586.2,439,0.083,0.917,garbage_bin
003494,garbage_bin,268.8,363,356.6,437,0.082,0.918,garbage_bin
004492,garbage_bin,566.2,96.7,672.6,300.9,0.075,0.925,garbage_bin
000295,garbage_bin,205.2,184.7,413.9,530,0.074,0.926,garbage_bin
002836,garbage_bin,431.2,361.2,517.5,431.7,0.072,0.928,garbage_bin
001732,garbage_bin,121.7,118.6,200,249,0.07,0.93,garbage_bin
003697,garbage_bin,207.8,344.3,559.2,440.5,0.07,0.93,garbage_bin
003794,garbage_bin,531.5,229.3,588.7,428.6,0.069,0.931,garbage_bin
004498,garbage_bin,410.8,147.2,594.8,478.4,0.068,0.932,garbage_bin
003058,garbage_bin,486.8,156.7,555.6,339.6,0.067,0.933,garbage_bin
001610,garbage_bin,599.6,92.4,640.5,145.1,0.067,0.933,garbage_bin
003789,garbage_bin,267.5,258.2,384.6,424.4,0.064,0.936,garbage_bin
000247,garbage_bin,471.9,215.9,510,296,0.06,0.94,garbage_bin
003477,garbage_bin,492.6,45.4,588.6,165.5,0.059,0.941,garbage_bin
002085,garbage_bin,380.8,355.2,450.7,423.5,0.059,0.941,garbage_bin
005045,garbage_bin,235.1,23.7,623.2,531,0.056,0.944,garbage_bin
003896,garbage_bin,6.2,397.6,128.2,438.8,0.054,0.946,garbage_bin
000157,garbage_bin,446.8,445.7,671.6,530,0.054,0.946,garbage_bin
003998,garbage_bin,112.2,330.8,271.7,440.8,0.053,0.947,garbage_bin
001543,garbage_bin,3.7,266.8,59.4,399.3,0.053,0.947,garbage_bin
000589,garbage_bin,719.6,215.4,730,267.9,0.05,0.95,garbage_bin
002107,garbage_bin,374.5,200,401.5,249.3,0.05,0.95,garbage_bin
003216,garbage_bin,316.5,141.6,583.3,413.9,0.05,0.95,garbage_bin
002420,garbage_bin,18.3,324.8,69.1,414.6,0.049,0.951,garbage_bin
