002547,sink,7.6,8.5,294.7,201.4,0.099,0.901,sink
004069,sink,512.5,195.8,584.2,390.9,0.097,0.903,sink
002192,sink,251.8,119.7,407.1,200.3,0.091,0.909,sink
002247,sink,336,160,550.8,246.3,0.08,0.92,sink
000996,sink,576,168.5,683.9,207.9,0.075,0.925,sink
002246,sink,2.7,125.4,161.2,218,0.072,0.928,sink
004325,sink,12.8,274.6,173.4,312,0.066,0.934,sink
003965,sink,304.2,331.2,577.1,437.5,0.064,0.936,sink
002617,sink,25,247.7,397,417.7,0.063,0.937,sink
001411,sink,295.4,36.1,470.6,342.3,0.056,0.944,sink
002613,sink,24.9,203.3,403.8,422.8,0.052,0.948,sink
000947,sink,509.7,139.1,710.4,455.3,0.05,0.95,sink
000938,sink,493.9,40.9,718.6,278.8,0.048,0.952,sink
004155,sink,120.4,22.6,267.2,157.5,0.047,0.953,sink
002761,sink,371.9,266.6,539.2,421,0.046,0.954,sink
004501,sink,493.3,93.1,675.1,426,0.046,0.954,sink
003440,sink,269.3,275.6,432.2,428.7,0.046,0.954,sink
000937,sink,611.7,191.8,730,489,0.042,0.958,sink
003059,sink,130.2,297.6,325.6,410.8,0.042,0.958,sink
002226,sink,21.2,272.7,383.5,379.2,0.039,0.961,sink
002225,sink,135.6,119.7,347.1,194.3,0.034,0.966,sink
004965,sink,1,201.6,252.6,472.3,0.023,0.977,sink
004298,sink,261.8,340.4,550,440.5,0.022,0.978,sink
002560,sink,269.4,338.8,528.8,425.4,0.017,0.983,sink
004279,sink,375.2,6.2,591,333.8,0.014,0.986,sink
